Country.Name,Country.ISO,Series.Name,Series.Year,Indicator,Sex,Series.Type,Series.Category,Data.Collection.Method,Model.Life.Table,Years.Preceding.the.Survey or Time.Since.First.Birth or Age.Group.of.Women,Interval,Reference.Date,Estimates,Standard.Error.of.Estimates,Indirect.method.based.on.TSFB,Method.based.on.Age.Group.of.Women,Inclusion,Adjustment,DataCatalogID
Afghanistan,AFG,Afghanistan Health Survey,2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2015,5","45,9","10,4",,,0,,7734
Afghanistan,AFG,Afghanistan Health Survey,2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2010,5","55,1","14,1",,,0,,7734
Afghanistan,AFG,Afghanistan Health Survey,2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2005,5","70,5","11,3",,,0,,7734
Afghanistan,AFG,Afghanistan Health Survey,2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2000,5","102,7","15,5",,,0,,7734
Afghanistan,AFG,Afghanistan Health Survey,2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"1995,5","145,5","30,0",,,0,,7734
Afghanistan,AFG,Afghanistan Health Survey (NN adjusted),2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2015,5","60,8",,,,1,NN adjustment,7734
Afghanistan,AFG,Afghanistan Health Survey (NN adjusted),2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2010,5","76,4",,,,1,NN adjustment,7734
Afghanistan,AFG,Afghanistan Health Survey (NN adjusted),2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2005,5","87,2",,,,1,NN adjustment,7734
Afghanistan,AFG,Afghanistan Health Survey (NN adjusted),2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2000,5","122,9",,,,1,NN adjustment,7734
Afghanistan,AFG,Afghanistan Health Survey (NN adjusted),2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"1995,5","164,8",,,,1,NN adjustment,7734
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,1,"2014,5","52,5","4,6",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2012,5","53,5","4,5",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2009,5","63,2","3,5",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2006,5","73,2","3,6",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2003,5","90,7","7,0",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2000,5","93,8","5,0",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1997,5","99,9","5,9",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1994,5","116,5","8,2",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1991,5","135,7","10,4",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2013,5","67,4",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2010,5","83,3",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2007,5","88,3",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2004,5","103,5",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2001,5","120,7",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1998,5","116,9",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1995,5","139,6",,,,1,NN adjustment,5689
Afghanistan,AFG,Demographic and Health Survey (NN adjusted),2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"1992,5","160,2",,,,1,NN adjustment,5689
Afghanistan,AFG,Afghanistan Health Survey 2015,2015,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2012,5","76,8",,,,0,,7507
