Geographic area,Indicator,Sex,Wealth Quintile,Series Name,Series Year,Regional group,TIME_PERIOD,OBS_VALUE,COUNTRY_NOTES,CONNECTION,DEATH_CATEGORY,CATEGORY,Observation Status,Unit of measure,Series Category,Series Type,STD_ERR,REF_DATE,Age Group of Women,Time Since First Birth,DEFINITION,INTERVAL,Series Method,LOWER_BOUND,UPPER_BOUND,STATUS,YEAR_TO_ACHIEVE,Model Used
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,1990-06,29.18327683,,,,,Normal value,"Deaths per 1,000 live births",,,,1990.5,,,,1,,26.8658742,31.9439307,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,1991-06,28.74619996,,,,,Normal value,"Deaths per 1,000 live births",,,,1991.5,,,,1,,26.80980242,31.08768201,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,1992-06,28.20228783,,,,,Normal value,"Deaths per 1,000 live births",,,,1992.5,,,,1,,26.51753823,30.28025206,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,1993-06,27.56025702,,,,,Normal value,"Deaths per 1,000 live births",,,,1993.5,,,,1,,26.03112052,29.42136644,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,1994-06,26.78630788,,,,,Normal value,"Deaths per 1,000 live births",,,,1994.5,,,,1,,25.37398986,28.47930503,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,1995-06,26.15028781,,,,,Normal value,"Deaths per 1,000 live births",,,,1995.5,,,,1,,24.78860769,27.73536454,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,1996-06,25.19856296,,,,,Normal value,"Deaths per 1,000 live births",,,,1996.5,,,,1,,23.88094818,26.71833959,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,1997-06,24.22137468,,,,,Normal value,"Deaths per 1,000 live births",,,,1997.5,,,,1,,22.98935474,25.62334045,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,1998-06,23.27135276,,,,,Normal value,"Deaths per 1,000 live births",,,,1998.5,,,,1,,22.04500569,24.61893575,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,1999-06,22.37933712,,,,,Normal value,"Deaths per 1,000 live births",,,,1999.5,,,,1,,21.15964889,23.66922955,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,2000-06,21.46819324,,,,,Normal value,"Deaths per 1,000 live births",,,,2000.5,,,,1,,20.24392556,22.69224582,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,2001-06,20.37969246,,,,,Normal value,"Deaths per 1,000 live births",,,,2001.5,,,,1,,19.21624118,21.5349448,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,2002-06,19.23513241,,,,,Normal value,"Deaths per 1,000 live births",,,,2002.5,,,,1,,18.16403078,20.31103035,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,2003-06,17.85421498,,,,,Normal value,"Deaths per 1,000 live births",,,,2003.5,,,,1,,16.83798033,18.86151528,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,2004-06,16.75975653,,,,,Normal value,"Deaths per 1,000 live births",,,,2004.5,,,,1,,15.78075212,17.68779949,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,2005-06,15.68575382,,,,,Normal value,"Deaths per 1,000 live births",,,,2005.5,,,,1,,14.74175028,16.55938497,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,2006-06,14.70321424,,,,,Normal value,"Deaths per 1,000 live births",,,,2006.5,,,,1,,13.78374739,15.52759328,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,2007-06,13.80570347,,,,,Normal value,"Deaths per 1,000 live births",,,,2007.5,,,,1,,12.92646983,14.56812845,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,2008-06,12.94367368,,,,,Normal value,"Deaths per 1,000 live births",,,,2008.5,,,,1,,12.09775482,13.65858307,,,
East Asia and Pacific,Neonatal mortality rate,Total,Total,UN IGME estimate,2021,UNICEF,2009-06,12.11433998,,,,,Normal value,"Deaths per 1,000 live births",,,,2009.5,,,,1,,11.31726699,12.78806034,,,
